Panel,t_mm,h_mm,b_mm,lambda1,Pcr_kN,Mass_kg,Ratio_kN_per_kg,Pcr_fit,Mass_fit,Ratio_fit
1,2,25,100,218.9,218.9,4.914,44.5461945461945,184.240935185185,4.92345,39.237144577557
2,2,25,150,86.234,86.234,4.2444,20.3171237395156,73.8087962962963,4.2255,20.2493574352579
3,2,25,200,44.824,44.824,3.9096,11.4651115203601,34.787212962963,3.91905,8.51315166789558
4,2,35,100,227.03,227.03,5.184,43.7943672839506,286.260768518519,5.18445,51.298740285699
5,2,35,150,88.167,88.167,4.4064,20.0088507625272,136.483962962963,4.4055,28.0097453794445
6,2,35,200,45.595,45.595,4.0176,11.3488152130625,58.117712962963,4.01805,11.9723318481268
7,2,45,100,235.38,235.38,5.454,43.1573157315732,268.290824074074,5.44545,47.2801220782335
8,2,45,150,90.2,90.2,4.5684,19.7443306190351,79.1693518518519,4.5855,19.6899194080236
9,2,45,200,46.288,46.288,4.1256,11.2197013767694,-38.5415648148148,4.11705,-0.648701887249608
10,3,25,100,341.35,341.35,6.5475,52.1344024436808,360.990074074074,6.5565,56.5261406542924
11,3,25,150,243.01,243.01,5.8725,41.3810131971052,212.414851851852,5.8545,37.1152937040279
12,3,25,200,131.19,131.19,5.535,23.7018970189702,135.250185185185,5.544,24.9560281287001
13,3,35,100,644.78,644.78,6.8175,94.5771910524386,509.060740740741,6.8175,74.188300203894
14,3,35,150,255.52,255.52,6.0345,42.343193305162,321.140851851852,6.0345,50.4762454896741
15,3,35,200,132.4,132.4,5.643,23.4626971469077,204.631518518519,5.643,34.0157721503908
16,3,45,100,603.67,603.67,7.0875,85.173897707231,537.14162962963,7.0785,75.7702458378881
17,3,45,150,259.34,259.34,6.1965,41.8526587589768,309.877074074074,6.2145,47.7569833597127
18,3,45,200,133.27,133.27,5.751,23.1733611545818,154.023074074074,5.742,26.995302256474
19,4,25,100,396.84,396.84,8.181,48.5075174184085,486.956768518519,8.18955,59.0972380911431
20,4,25,150,286.85,286.85,7.5006,38.2436071780924,300.238462962963,7.4835,39.263331332913
21,4,25,200,224.42,224.42,7.1604,31.3418244790794,184.930712962963,7.16895,26.6810059496197
22,4,35,100,745.38,745.38,8.451,88.2002129925453,681.078268518519,8.45055,82.3599614822042
23,4,35,150,528.5,528.5,7.6626,68.9713674209798,455.015296296296,7.6635,58.2248469600188
24,4,35,200,284.78,284.78,7.2684,39.1805624346486,300.36287962963,7.26795,41.34131381277
25,4,45,100,655.9,655.9,8.721,75.2092649925467,755.209990740741,8.71155,89.5424709576578
26,4,45,150,540.13,540.13,7.8246,69.0297267591954,489.802351851852,7.8435,61.1061486715169
27,4,45,200,286.6,286.6,7.3764,38.8536413426604,295.805268518518,7.36695,39.9214077603127
