Case,t_mm,h_mm,b_mm,N_stiff,IPT,STEP
1,2,25,100,5,Panel_01_t2_h25_b100.ipt,Panel_01_t2_h25_b100.stp
2,2,25,150,3,Panel_02_t2_h25_b150.ipt,Panel_02_t2_h25_b150.stp
3,2,25,200,2,Panel_03_t2_h25_b200.ipt,Panel_03_t2_h25_b200.stp
4,2,35,100,5,Panel_04_t2_h35_b100.ipt,Panel_04_t2_h35_b100.stp
5,2,35,150,3,Panel_05_t2_h35_b150.ipt,Panel_05_t2_h35_b150.stp
6,2,35,200,2,Panel_06_t2_h35_b200.ipt,Panel_06_t2_h35_b200.stp
7,2,45,100,5,Panel_07_t2_h45_b100.ipt,Panel_07_t2_h45_b100.stp
8,2,45,150,3,Panel_08_t2_h45_b150.ipt,Panel_08_t2_h45_b150.stp
9,2,45,200,2,Panel_09_t2_h45_b200.ipt,Panel_09_t2_h45_b200.stp
10,3,25,100,5,Panel_10_t3_h25_b100.ipt,Panel_10_t3_h25_b100.stp
11,3,25,150,3,Panel_11_t3_h25_b150.ipt,Panel_11_t3_h25_b150.stp
12,3,25,200,2,Panel_12_t3_h25_b200.ipt,Panel_12_t3_h25_b200.stp
13,3,35,100,5,Panel_13_t3_h35_b100.ipt,Panel_13_t3_h35_b100.stp
14,3,35,150,3,Panel_14_t3_h35_b150.ipt,Panel_14_t3_h35_b150.stp
15,3,35,200,2,Panel_15_t3_h35_b200.ipt,Panel_15_t3_h35_b200.stp
16,3,45,100,5,Panel_16_t3_h45_b100.ipt,Panel_16_t3_h45_b100.stp
17,3,45,150,3,Panel_17_t3_h45_b150.ipt,Panel_17_t3_h45_b150.stp
18,3,45,200,2,Panel_18_t3_h45_b200.ipt,Panel_18_t3_h45_b200.stp
19,4,25,100,5,Panel_19_t4_h25_b100.ipt,Panel_19_t4_h25_b100.stp
20,4,25,150,3,Panel_20_t4_h25_b150.ipt,Panel_20_t4_h25_b150.stp
21,4,25,200,2,Panel_21_t4_h25_b200.ipt,Panel_21_t4_h25_b200.stp
22,4,35,100,5,Panel_22_t4_h35_b100.ipt,Panel_22_t4_h35_b100.stp
23,4,35,150,3,Panel_23_t4_h35_b150.ipt,Panel_23_t4_h35_b150.stp
24,4,35,200,2,Panel_24_t4_h35_b200.ipt,Panel_24_t4_h35_b200.stp
25,4,45,100,5,Panel_25_t4_h45_b100.ipt,Panel_25_t4_h45_b100.stp
26,4,45,150,3,Panel_26_t4_h45_b150.ipt,Panel_26_t4_h45_b150.stp
27,4,45,200,2,Panel_27_t4_h45_b200.ipt,Panel_27_t4_h45_b200.stp
